epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,10218.9,0.62419,0.40041,0.98115,0.80386,0.69634,0.74302,0.58414,1.06879,0.98099,1.37433,0.000577782,0.000577782,0.000577782
68,10370.6,0.61959,0.39452,0.97767,0.78149,0.70681,0.75184,0.58987,1.06525,0.98536,1.36315,0.000561279,0.000561279,0.000561279
69,10522.9,0.60964,0.39056,0.97373,0.80059,0.70951,0.75307,0.58965,1.05762,0.96451,1.35876,0.000544776,0.000544776,0.000544776
70,10674.7,0.60906,0.38521,0.97634,0.79616,0.69776,0.74783,0.58393,1.05173,0.96787,1.35471,0.000528272,0.000528272,0.000528272
71,10826.6,0.60522,0.38721,0.97026,0.78091,0.71545,0.74991,0.58447,1.06584,0.974,1.36485,0.000511769,0.000511769,0.000511769
72,10978.3,0.59845,0.38285,0.96604,0.78303,0.70464,0.74418,0.58591,1.05245,0.96463,1.35543,0.000495266,0.000495266,0.000495266
73,11130,0.59826,0.37796,0.9659,0.76876,0.71938,0.74968,0.59078,1.05359,0.97858,1.35005,0.000478762,0.000478762,0.000478762
74,11281.7,0.5961,0.37737,0.96495,0.80922,0.70197,0.75493,0.59089,1.05693,0.97573,1.36234,0.000462259,0.000462259,0.000462259
75,11433.5,0.58719,0.36881,0.96221,0.80667,0.7031,0.75672,0.59338,1.05752,0.95283,1.36402,0.000445756,0.000445756,0.000445756
76,11585.5,0.58023,0.36369,0.9587,0.81002,0.6896,0.75233,0.59146,1.05596,0.98203,1.36911,0.000429253,0.000429253,0.000429253
77,11737,0.57791,0.36616,0.95358,0.79131,0.70098,0.74961,0.58768,1.06451,0.97121,1.37708,0.000412749,0.000412749,0.000412749
78,11888.7,0.57372,0.36355,0.95541,0.77324,0.71549,0.7472,0.58841,1.04742,0.98229,1.36699,0.000396246,0.000396246,0.000396246
79,12040.4,0.57413,0.36302,0.95531,0.78177,0.71092,0.74733,0.58862,1.05762,0.9985,1.37928,0.000379743,0.000379743,0.000379743
80,12192.2,0.57561,0.361,0.95372,0.79921,0.70225,0.74813,0.58967,1.06281,0.98526,1.38616,0.000363239,0.000363239,0.000363239
81,12343.9,0.56287,0.35436,0.95026,0.78755,0.70078,0.74742,0.5893,1.05692,0.99829,1.3835,0.000346736,0.000346736,0.000346736
82,12495.7,0.55883,0.34922,0.94918,0.80836,0.68868,0.7432,0.58804,1.05901,1.00739,1.38322,0.000330233,0.000330233,0.000330233
83,12647.3,0.56164,0.35504,0.94713,0.79141,0.70291,0.74614,0.58921,1.04937,1.02046,1.36696,0.000313729,0.000313729,0.000313729
84,12799,0.55435,0.34829,0.9458,0.79065,0.70382,0.75061,0.59075,1.04998,0.98454,1.38519,0.000297226,0.000297226,0.000297226
85,12950.7,0.54552,0.34129,0.94147,0.78333,0.70738,0.74623,0.58753,1.0609,0.99546,1.39554,0.000280723,0.000280723,0.000280723
86,13102.6,0.54091,0.33731,0.93992,0.82125,0.68539,0.74803,0.58871,1.06524,0.99745,1.39951,0.00026422,0.00026422,0.00026422
87,13254.2,0.54627,0.3421,0.94121,0.81756,0.6911,0.74879,0.58825,1.06345,0.99675,1.39536,0.000247716,0.000247716,0.000247716
88,13405.9,0.53656,0.33317,0.93776,0.79787,0.69387,0.74482,0.58669,1.05884,1.00573,1.38913,0.000231213,0.000231213,0.000231213
89,13557.9,0.52897,0.32973,0.93355,0.80697,0.69042,0.74551,0.59039,1.05881,1.00777,1.38721,0.00021471,0.00021471,0.00021471
90,13709.7,0.53275,0.33448,0.93634,0.82073,0.68086,0.74551,0.58818,1.06293,1.00121,1.40041,0.000198206,0.000198206,0.000198206
91,13862.4,0.47004,0.26474,0.88041,0.843,0.67573,0.74673,0.58756,1.06346,0.99348,1.39657,0.000181703,0.000181703,0.000181703
92,14013.9,0.46163,0.25648,0.87813,0.78891,0.69487,0.74802,0.58971,1.05348,0.98867,1.39892,0.0001652,0.0001652,0.0001652
93,14165.6,0.46017,0.25388,0.87429,0.77269,0.70383,0.74875,0.59074,1.04981,1.00649,1.39434,0.000148696,0.000148696,0.000148696
94,14317.1,0.45155,0.24968,0.86909,0.80527,0.68689,0.74692,0.58858,1.05364,1.00059,1.40674,0.000132193,0.000132193,0.000132193
95,14468.5,0.44971,0.24939,0.86988,0.75952,0.71479,0.74722,0.589,1.0545,1.00288,1.4065,0.00011569,0.00011569,0.00011569
